@110000 [INFO] [CMPOBJ] : cmp = 1, rd_id =          0, rd_data = 00000101, wr_id =          0, wr_data = 00000101, wr_raw_id =          0, wr_raw_data = 00000101
@1290000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         36, rd_data = 10000001, wr_id =         36, wr_data = 10000001, wr_raw_id =         36, wr_raw_data = 10000001

@1310000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         37, rd_data = 10011010, wr_id =         37, wr_data = 10011010, wr_raw_id =         37, wr_raw_data = 10011010

@1330000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         38, rd_data = 00010101, wr_id =         38, wr_data = 00010101, wr_raw_id =         38, wr_raw_data = 00010101

@1350000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         39, rd_data = 11110001, wr_id =         39, wr_data = 11110001, wr_raw_id =         39, wr_raw_data = 11110001

@1370000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         40, rd_data = 11110100, wr_id =         40, wr_data = 11110100, wr_raw_id =         40, wr_raw_data = 11110100

@1410000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         41, rd_data = 01101110, wr_id =         41, wr_data = 01101110, wr_raw_id =         41, wr_raw_data = 01101110

@1430000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         42, rd_data = 10010000, wr_id =         42, wr_data = 10010000, wr_raw_id =         42, wr_raw_data = 10010000

@1530000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         43, rd_data = 11100100, wr_id =         43, wr_data = 11100100, wr_raw_id =         43, wr_raw_data = 11100100

@1550000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         44, rd_data = 10011110, wr_id =         44, wr_data = 10011110, wr_raw_id =         44, wr_raw_data = 10011110

@1570000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         45, rd_data = 10101011, wr_id =         45, wr_data = 10101011, wr_raw_id =         45, wr_raw_data = 10101011

@1630000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         46, rd_data = 11110011, wr_id =         46, wr_data = 11110011, wr_raw_id =         46, wr_raw_data = 11110011

@1650000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         47, rd_data = 10010000, wr_id =         47, wr_data = 10010000, wr_raw_id =         47, wr_raw_data = 10010000

@1670000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         48, rd_data = 11000000, wr_id =         48, wr_data = 11000000, wr_raw_id =         48, wr_raw_data = 11000000

